iter	RMSE
273	7.167692724
274	7.162094043
275	7.154727087
276	7.143925716
277	7.138100146
278	7.128687856
279	7.114405378
280	7.099058749
281	7.088406645
282	7.075311886
283	7.068828007
284	7.055173154
285	7.041063613
286	7.021665615
287	7.012356717
288	7.005746623
289	6.992688337
290	6.982326814
291	6.967294474
292	6.952900382
293	6.944213136
294	6.935030317
295	6.913986599
296	6.902989755
297	6.895857631
298	6.885650106
299	6.878783783
300	6.871805567
301	6.856932493
302	6.846299249
303	6.836415964
304	6.82685988
305	6.809771162
306	6.802939541
307	6.792819294
308	6.782682545
309	6.771192104
310	6.75418281
311	6.73896773
312	6.725053979
313	6.715585568
314	6.702501316
315	6.68984309
316	6.680967147
317	6.671923107
318	6.666048741
319	6.656196763
320	6.651139993
321	6.64190302
322	6.636722842
323	6.623761249
324	6.61538893
325	6.606970982
326	6.58836697
327	6.580932054
328	6.573690743
329	6.563870519
330	6.556117986
331	6.543557148
332	6.537039228
333	6.527310943
334	6.520388567
335	6.512452809
336	6.506599391
337	6.493168202
338	6.48444329
339	6.469969735
340	6.458466044
341	6.450346195
342	6.440833792
343	6.434809713
344	6.423636342
345	6.407373906
346	6.396914047
347	6.389275522
348	6.377110638
349	6.369798445
350	6.361574265
351	6.354620994
352	6.347504933
353	6.33637507
354	6.327823564
355	6.318575829
356	6.307287033
357	6.300775047
358	6.293637406
359	6.284768485
360	6.276331478
361	6.26903333
362	6.261749491
363	6.246136726
364	6.234237635
365	6.223767116
366	6.213339251
367	6.204630514
368	6.197045652
369	6.189198795
370	6.177597146
371	6.168402704
372	6.163479378
373	6.155154008
374	6.151209129
375	6.13875542
376	6.130926835
377	6.123785378
378	6.110828942
379	6.105447115
380	6.100529632
381	6.092205009
382	6.084693401
383	6.080297345
384	6.075301832
385	6.068926574
386	6.06151287
387	6.051497464
388	6.045510766
389	6.037310128
390	6.030097986
391	6.021879483
392	6.013887856
393	6.003780848
394	5.998762119
395	5.993210601
396	5.986453329
397	5.978862585
398	5.967444938
399	5.960746484
400	5.947214773
401	5.939580311
402	5.933151001
403	5.925832
404	5.918436533
405	5.90774921
406	5.900489387
407	5.896410844
408	5.891322136
409	5.876533037
410	5.871756987
411	5.857842197
412	5.850819125
413	5.84484732
414	5.83761412
415	5.831697795
416	5.822107287
417	5.812982009
418	5.805488446
419	5.798687467
420	5.78991021
421	5.782199971
422	5.773001828
423	5.766337156
424	5.761311451
425	5.757087167
426	5.746369182
427	5.739622111
428	5.736248284
429	5.729670162
430	5.724906334
431	5.716157841
432	5.709902649
433	5.699766638
434	5.69420309
435	5.687871924
436	5.680860599
437	5.67488714
438	5.666421576
439	5.65920779
440	5.654447505
441	5.645524803
442	5.641090835
443	5.635212115
444	5.628326546
445	5.623299441
446	5.618288701
447	5.612238113
448	5.604679715
449	5.599356838
450	5.592751358
451	5.585135403
452	5.580189622
453	5.575591741
454	5.569871441
455	5.565856305
456	5.560952164
457	5.554944084
458	5.550282903
459	5.544732761
460	5.537586374
461	5.533562506
462	5.528109791
463	5.521059076
464	5.516965097
465	5.510873628
466	5.503654713
467	5.493251281
468	5.487444226
469	5.481221705
470	5.477607259
471	5.472502866
472	5.467938579
473	5.460953239
474	5.455188149
475	5.448593676
476	5.444568957
477	5.432807909
478	5.42635013
479	5.421123701
480	5.414206561
481	5.40703945
482	5.400975948
483	5.39415212
484	5.389534002
485	5.383915202
486	5.376049745
487	5.367520319
488	5.363356466
489	5.357202862
490	5.353406656
491	5.349400438
492	5.34430285
493	5.341611049
494	5.33576012
495	5.327788104
496	5.325162448
497	5.318594206
498	5.311006213
499	5.306557867
500	5.30343522
501	5.295903381
502	5.289427435
503	5.285414988
504	5.280784992
505	5.275655367
506	5.270605864
507	5.260188696
508	5.257026495
509	5.251316336
510	5.24507439
511	5.241724173
512	5.237752142
513	5.23442098
514	5.228651999
515	5.223771402
516	5.217906941
517	5.214982829
518	5.209785682
519	5.204456842
520	5.200705001
521	5.197994254
522	5.191992803
523	5.186974414
524	5.18397465
525	5.177415875
526	5.170977127
527	5.167212083
528	5.161786218
529	5.157007015
530	5.153450007
531	5.149302152
532	5.142296264
533	5.138194874
534	5.131626429
535	5.126271325
536	5.123086686
537	5.117522189
538	5.113631474
539	5.11101207
540	5.105031816
541	5.097842963
542	5.093498676
543	5.088148422
544	5.084517925
545	5.080137733
546	5.075737218
547	5.071760041
548	5.062615015
549	5.05900691
550	5.051890459
551	5.046656302
552	5.041251661
553	5.034495868
554	5.028288094
555	5.024830202
556	5.018905709
557	5.015812103
558	5.008577243
559	5.004271792
560	4.99891051
561	4.994110921
562	4.988549997
563	4.984391784
564	4.978021691
565	4.97370576
566	4.969188903
567	4.963412553
568	4.961706761
569	4.955817583
570	4.95031703
571	4.946035271
572	4.939948846
573	4.93559617
574	4.928294341
575	4.924060255
576	4.918709567
577	4.91426433
578	4.910483301
579	4.905465708
580	4.900139695
581	4.894988812
582	4.890999309
583	4.888610462
584	4.885655548
585	4.881003092
586	4.878039661
587	4.872279974
588	4.868297361
589	4.864557694
590	4.86077906
591	4.858038003
592	4.853781987
593	4.849107472
594	4.845019774
595	4.840409852
596	4.837907462
597	4.83314056
598	4.830412657
599	4.82522947
600	4.820402631
601	4.816500585
602	4.811395414
603	4.807264675
604	4.803013766
605	4.797991498
606	4.794831099
607	4.791619445
608	4.785498204
609	4.782662874
610	4.777473614
611	4.770420375
612	4.765356922
613	4.76078747
614	4.756879884
615	4.751205808
616	4.745474429
617	4.740035312
618	4.736521022
619	4.732032424
620	4.727574119
621	4.72238684
622	4.716471458
623	4.711620775
624	4.707650114
625	4.702690041
626	4.697627359
627	4.694338232
628	4.690660575
629	4.68544468
630	4.68052635
631	4.67679088
632	4.671513221
633	4.668154203
634	4.663955891
635	4.660518983
636	4.656781796
637	4.653386513
638	4.649643763
639	4.645092795
640	4.641881211
641	4.637988322
642	4.634991341
643	4.631220383
644	4.625302504
645	4.621679924
646	4.617148561
647	4.613946076
648	4.610400497
649	4.604734327
650	4.599676982
651	4.596588708
652	4.591857611
653	4.58920668
654	4.584565233
655	4.581185575
656	4.576801883
657	4.572450984
658	4.568458227
659	4.562582144
660	4.556758882
661	4.550576703
662	4.547122866
663	4.544114153
664	4.541080136
665	4.538579045
666	4.533526185
667	4.529885331
668	4.524159072
669	4.520821806
670	4.517115965
671	4.512164733
672	4.506745285
673	4.503540698
674	4.498449519
675	4.495493078
676	4.49178789
677	4.48842269
678	4.48556245
679	4.481300257
680	4.478243523
681	4.473061463
682	4.468260485
683	4.465284176
684	4.461937104
685	4.457817302
686	4.453845784
687	4.450730841
688	4.447844211
689	4.444130532
690	4.439614226
691	4.436760981
692	4.432092257
693	4.428056441
694	4.424525588
695	4.420934302
696	4.417099272
697	4.413712941
698	4.409288571
699	4.40673853
700	4.40232495
701	4.399054076
702	4.392736835
703	4.388842258
704	4.385807224
705	4.382174656
706	4.379466253
707	4.375132369
708	4.371820299
709	4.36810563
710	4.365664106
711	4.363001943
712	4.359766401
713	4.355480746
714	4.352380491
715	4.349776988
716	4.344454073
717	4.341333886
718	4.338210843
719	4.334695577
720	4.329470477
721	4.326338252
722	4.322726912
723	4.319681424
724	4.317771944
725	4.314329003
726	4.309722275
727	4.304943151
728	4.301133112
729	4.29948671
730	4.296646671
731	4.294535418
732	4.291335443
733	4.288153126
734	4.284112444
735	4.281755242
736	4.277800617
737	4.27462823
738	4.271165781
739	4.267787194
740	4.265130601
741	4.261292161
742	4.257265675
743	4.25378227
744	4.249881816
745	4.247818041
746	4.243233288
747	4.238287336
748	4.234483032
749	4.230317589
750	4.225569278
751	4.222025538
752	4.218049799
753	4.21512794
754	4.211247764
755	4.207486756
756	4.204264592
757	4.200553257
758	4.198214919
759	4.195416905
760	4.190395516
761	4.18681181
762	4.184504597
763	4.180296621
764	4.175991202
765	4.171126175
766	4.166224799
767	4.163711571
768	4.160452402
769	4.156620041
770	4.153294593
771	4.150316681
772	4.145779178
773	4.143454536
774	4.139691299
775	4.136923747
776	4.133592422
777	4.129973163
778	4.127727358
779	4.124430169
780	4.120345607
781	4.118046603
782	4.114645948
783	4.111711268
784	4.109001296
785	4.106951458
786	4.104700431
787	4.100780823
788	4.097276971
789	4.094627485
790	4.091397534
791	4.088324887
792	4.084950624
793	4.082263946
794	4.07782517
795	4.075142247
796	4.072552747
797	4.068614715
798	4.062852103
799	4.060135569
800	4.057533008
801	4.054434995
802	4.051588652
803	4.047660111
804	4.045495413
805	4.041870832
806	4.037235899
807	4.034484902
808	4.032293545
809	4.029354717
810	4.027192108
811	4.024791552
812	4.021929061
813	4.019958525
814	4.015017355
815	4.012044713
816	4.008442069
817	4.006614844
818	4.001644209
819	3.998180323
820	3.994873155
821	3.992617039
822	3.990199314
823	3.986777981
824	3.9838152
825	3.980976533
826	3.976859772
827	3.973304502
828	3.970378626
829	3.967701433
830	3.964953801
831	3.959773184
832	3.956395526
833	3.953453297
834	3.950887422
835	3.947952252
836	3.944199505
837	3.941418763
838	3.938791944
839	3.935196822
840	3.931561738
841	3.929144265
842	3.9249513
843	3.922551736
844	3.917974592
845	3.91490917
846	3.912297322
847	3.908941955
848	3.905707554
849	3.902186078
850	3.899477653
851	3.896480446
852	3.893733307
853	3.891649371
854	3.888130729
855	3.885282099
856	3.882823031
857	3.878428107
858	3.875870399
859	3.873306501
860	3.869364373
861	3.867170385
862	3.864574493
863	3.86188767
864	3.858895588
865	3.856583233
866	3.854369095
867	3.851052457
868	3.847492995
869	3.846019085
870	3.841691169
871	3.838047741
872	3.834781138
873	3.831947441
874	3.827282367
875	3.82368485
876	3.820961195
877	3.816483396
878	3.814547588
879	3.810762491
880	3.807994047
881	3.805146714
882	3.802493055
883	3.798855662
884	3.795775855
885	3.793118847
886	3.790202197
887	3.786768912
888	3.784111999
889	3.781719504
890	3.778840928
891	3.776005577
892	3.772822501
893	3.769870181
894	3.766823808
895	3.764740073
896	3.762001118
897	3.757570584
898	3.755045416
899	3.752884398
900	3.750142636
901	3.747754574
902	3.744340803
903	3.740579321
904	3.738303067
905	3.735819399
906	3.733621807
907	3.730325771
908	3.728829658
909	3.725587727
910	3.722239203
911	3.719155063
912	3.717361317
913	3.71502135
914	3.71307365
915	3.710617928
916	3.707737884
917	3.704336705
918	3.701881381
919	3.699204486
920	3.694827618
921	3.691118616
922	3.68817548
923	3.685467469
924	3.681495457
925	3.677674426
926	3.675622846
927	3.672904366
928	3.670589377
929	3.668294468
930	3.664544764
931	3.662090913
932	3.659874303
933	3.65770409
934	3.653734811
935	3.650327449
936	3.648172521
937	3.644580523
938	3.64117942
939	3.638456723
940	3.635837084
941	3.633320875
942	3.63099378
943	3.628566857
944	3.625894098
945	3.622471419
946	3.620742162
947	3.617480054
948	3.615397466
949	3.61270567
950	3.61039091
951	3.606235892
952	3.604068544
953	3.601473053
954	3.599660261
955	3.597439662
956	3.595227582
957	3.591858151
958	3.589348543
959	3.586164895
960	3.584274747
961	3.581447635
962	3.578066465
963	3.572582336
964	3.57029519
965	3.567329899
966	3.564522878
967	3.562549369
968	3.560321934
969	3.558414903
970	3.556025439
971	3.552903969
972	3.551004957
973	3.548975591
974	3.546005586
975	3.542803382
976	3.540976155
977	3.5391937
978	3.537288451
979	3.535135842
980	3.53254979
981	3.530466615
982	3.528024153
983	3.524993302
984	3.522493889
985	3.518253201
986	3.516264859
987	3.513247969
988	3.510132268
989	3.507608177
990	3.505172271
991	3.503152232
992	3.500843248
993	3.498844748
994	3.496239629
995	3.49305112
996	3.490956331
997	3.487239519
998	3.485061797
999	3.483107368
